sample	strainID	genus	species	count	count_correct	f_correct
21_B1	HAMBI-2659	Stenotrophomonas	maltophilia	164	233	0.01610081443783554
21_B1	HAMBI-2792	Moraxella	canis	0	0	0
21_B1	HAMBI-3031	Niabella	yanshanensis	48	189	0.013073853502644789
21_B1	HAMBI-3237	Microvirga	lotononidis	20	54	0.0037638942794045887
21_B2	HAMBI-0006	Pseudomonas	putida	2664	326	0.01928671024593459
21_B2	HAMBI-0097	Acinetobacter	lwoffii	0	0	0
21_B2	HAMBI-0105	Agrobacterium	tumefaciens	565	2452	0.1451190345750536
21_B2	HAMBI-0262	Brevundimonas	bullata	0	0	0
21_B2	HAMBI-0403	Comamonas	testosteroni	248	327	0.01934972504175362
21_B2	HAMBI-1279	Hafnia	alvei	52	189	0.011157835195449481
21_B2	HAMBI-1287	Citrobacter	koseri	1517	2820	0.16689827356895764
21_B2	HAMBI-1292	Morganella	morganii	104	694	0.04106550066618947
21_B2	HAMBI-1299	Kluyvera	intermedia	26	111	0.0065412210474915175
21_B2	HAMBI-1842	Sphingobium	yanoikuyae	238	560	0.03312817747089472
21_B2	HAMBI-1896	Sphingobacterium	spiritivorum	1489	3723	0.22040327053445352
21_B2	HAMBI-1972	Aeromonas	caviae	9352	2654	0.1571260120140822
21_B2	HAMBI-1977	Pseudomonas	chlororaphis	309	935	0.055324131997095696
21_B2	HAMBI-1988	Chitinophaga	sancti	0	0	0
21_B2	HAMBI-2159	Paraburkholderia	caryophylli	2	54	0.003206497347603105
21_B2	HAMBI-2160	Bordetella	avium	44	592	0.03502794896608066
21_B2	HAMBI-2164	Cupriavidus	necator	11	197	0.011665148025834845
21_B2	HAMBI-2443	Paracoccus	denitrificans	23	531	0.03143016590377161
21_B2	HAMBI-2494	Paraburkholderia	kururiensis	12	204	0.012083796430570481
21_B2	HAMBI-2659	Stenotrophomonas	maltophilia	170	265	0.015681988779111724
21_B2	HAMBI-2792	Moraxella	canis	0	0	0
21_B2	HAMBI-3031	Niabella	yanshanensis	44	190	0.011260645175122826
21_B2	HAMBI-3237	Microvirga	lotononidis	24	72	0.004243917014548775
21_B3	HAMBI-0006	Pseudomonas	putida	1944	235	0.018284484176467445
21_B3	HAMBI-0097	Acinetobacter	lwoffii	0	0	0
21_B3	HAMBI-0105	Agrobacterium	tumefaciens	360	1541	0.12012708826765726
21_B3	HAMBI-0262	Brevundimonas	bullata	0	0	0
21_B3	HAMBI-0403	Comamonas	testosteroni	258	335	0.026152026052413135
21_B3	HAMBI-1279	Hafnia	alvei	47	168	0.013101981254508165
21_B3	HAMBI-1287	Citrobacter	koseri	1548	2838	0.22125838434648226
21_B3	HAMBI-1292	Morganella	morganii	84	553	0.043090902074638254
21_B3	HAMBI-1299	Kluyvera	intermedia	23	96	0.007517541434987667
21_B3	HAMBI-1842	Sphingobium	yanoikuyae	57	132	0.010307609560342377
21_B3	HAMBI-1896	Sphingobacterium	spiritivorum	1345	3318	0.25864741257327917
21_B3	HAMBI-1972	Aeromonas	caviae	6787	1900	0.14814396218888537
21_B3	HAMBI-1977	Pseudomonas	chlororaphis	143	427	0.033262484397247785
21_B3	HAMBI-1988	Chitinophaga	sancti	0	0	0
21_B3	HAMBI-2159	Paraburkholderia	caryophylli	1	27	0.0020828759543454036
21_B3	HAMBI-2160	Bordetella	avium	26	345	0.02689043927178117
21_B3	HAMBI-2164	Cupriavidus	necator	6	106	0.008266303307298621
21_B3	HAMBI-2443	Paracoccus	denitrificans	13	296	0.0230794102307915
21_B3	HAMBI-2494	Paraburkholderia	kururiensis	8	134	0.010465853668959262
21_B3	HAMBI-2659	Stenotrophomonas	maltophilia	135	208	0.016178881826706397
21_B3	HAMBI-2792	Moraxella	canis	0	0	0
21_B3	HAMBI-3031	Niabella	yanshanensis	34	145	0.011304517526651282
21_B3	HAMBI-3237	Microvirga	lotononidis	8	24	0.0018378418865575435
21_B4	HAMBI-0006	Pseudomonas	putida	2156	249	0.020868781011774647
21_B4	HAMBI-0097	Acinetobacter	lwoffii	0	0	0
21_B4	HAMBI-0105	Agrobacterium	tumefaciens	314	1287	0.10782760787864842
21_B4	HAMBI-0262	Brevundimonas	bullata	0	0	0
21_B4	HAMBI-0403	Comamonas	testosteroni	149	186	0.01554296165350162
21_B4	HAMBI-1279	Hafnia	alvei	36	123	0.010327697037855025
21_B4	HAMBI-1287	Citrobacter	koseri	1677	2945	0.24667419292728554
21_B4	HAMBI-1292	Morganella	morganii	63	397	0.033258964385945965
21_B4	HAMBI-1299	Kluyvera	intermedia	27	108	0.009081835506544018
